,date,value,action,reward,balance,coin
43,,99609776.77873194,1.0,-0.08639977218265699,149407194.4971034,-2.36383817315864
44,,99609397.6222569,5.0,-0.035601547480557105,149407194.4971034,-2.36383817315864
45,,99610579.54134348,1.0,-0.3356059527200416,149405909.1215426,-2.364249965378892
46,,99599437.22588818,6.0,-0.23899496831460484,74692107.28629592,1.181964697812738
47,,99589011.68102343,6.0,-0.38141437998480127,74686779.34503607,1.1819812438404793
48,,99576349.38720697,2.0,0.6279769678261407,199140252.18247104,-4.728783064808594
49,,99608826.23437975,1.0,-0.47818201254281223,149398305.76766312,-2.3662301937091352
50,,99587977.07498896,0.0,-0.3103447661575784,124487462.67717862,-1.1827269788721047
51,,99585146.13702646,7.0,0.07649311327466486,49785103.57955235,2.364881171622571
52,,99590683.4945095,7.0,-0.08635122622912848,49785381.65508853,2.3643950403482705
53,,99587816.58746433,0.0,-0.16780508937256822,124487261.28240897,-1.1819951169969893
54,,99589716.13798438,2.0,-0.6,199166983.54984054,-4.727958419007994
55,,99577267.41185616,0.0,-0.32804666729964127,124479053.8047487,-1.1818418559135986
56,,99578827.74250509,6.0,-0.09660935497645551,74679141.31357902,1.1815799010691665
57,,99575620.6190569,1.0,-1.0119669680355958,149355962.49962384,-2.3629154652015116
58,,99544523.03544337,0.0,-0.5236053461729624,124433146.32517472,-1.180528486461936
59,,99534620.01720603,7.0,-0.6200097197855542,49759843.42497135,2.3596467691718277
60,,99516535.0231131,1.0,0.43178396130222235,149264851.03875867,-2.359721504828044
61,,99533720.32450762,1.0,-0.7982704626334068,149290630.6876738,-2.3614168523014856
62,,99507240.60745388,0.0,-0.1855789298927252,124386541.41731021,-1.1800023788949563
63,,99508551.26306784,7.0,-0.3,49746812.40495534,2.3599239022688385
64,,99501088.03648926,1.0,-0.3,149241681.57276893,-2.3597469059547804
65,,99491137.55452429,1.0,-0.6201951809513635,149226756.72050688,-2.359510922414369
66,,99470570.14409387,7.0,0.10562537047996766,49725335.92488209,2.3585197425985505
67,,99474772.11538461,1.0,-0.40667859767218867,149202209.49085212,-2.357948470272468
68,,99461286.5104544,6.0,-0.06112526665092112,74588504.25838,1.1787305820153402
69,,99456772.71244863,1.0,-0.5133167436899648,149177699.40319192,-2.3570748361760545
70,,99442241.82245909,1.0,-0.40664320750689703,149153417.07583943,-2.3563953892670573
71,,99428761.57152599,0.0,-0.20331781347739594,124288438.71091864,-1.177954240966804
72,,99429481.38667569,7.0,-0.3,49707283.323536076,2.355758082466787
73,,99422024.01687391,0.0,-0.4876554836875015,124280015.9445613,-1.1777906984253075
74,,99413320.92870778,1.0,-0.4065800691517653,149112524.05751365,-2.3543153727255195
75,,99402332.12010068,7.0,-0.015863506121337,49691224.924250595,2.3538878997868924
76,,99401806.53590009,1.0,-0.6551743731798794,149092768.65536216,-2.3534296123280556
77,,99380098.23935047,6.0,-0.15,74527617.91001527,1.1761793528457698
78,,99372642.4698529,6.0,-0.06124517717241975,74524513.03387193,1.1760911126216405
79,,99370613.87911671,1.0,-0.19348551547851428,149048467.6778966,-2.351855861950126
80,,99366688.52213115,1.0,-0.3,149040096.27085504,-2.351929951528584
81,,99356752.00978947,1.0,-0.903624937868341,149025191.8426576,-2.3516947622379103
82,,99326826.43228385,1.0,-1.1873266928501054,148980303.4705631,-2.3500408468339526
83,,99287514.74383578,1.0,-0.22905582748094594,148921338.46114382,-2.3477220861137305
84,,99279928.81131205,0.0,0.03758808437178138,124102393.15688476,-1.1738268676406636
85,,99288867.00182877,7.0,-0.690234873929568,49636987.7049488,2.34847596863212
86,,99268504.5880357,1.0,0.2528065630397411,148892830.30513585,-2.348605403459808
87,,99278541.1570474,7.0,0.3712396449704851,49629345.22255104,2.3497879563798203
88,,99293288.57461673,6.0,-0.4515950651746302,74462517.70441298,1.17448473628039
89,,99275856.72780879,1.0,-0.1224842618450644,148906339.96497446,-2.349501981535684
90,,99274285.35602391,7.0,0.01625186394944515,49627215.75828327,2.3497428425767217
91,,99274932.27908683,1.0,-0.26450021297735804,148902469.9003642,-2.3492577092878704
92,,99266178.38967542,7.0,-0.5129611661972056,49623162.25676716,2.349106145483007
