index,open,high,low,close,volume,value
2023-01-10 04:43:00,21771000.0,21772000.0,21771000.0,21772000.0,0.45046305,9807243.52834
2023-01-10 04:44:00,21771000.0,21771000.0,21764000.0,21766000.0,1.18937717,25891504.11518
2023-01-10 04:45:00,21772000.0,21782000.0,21765000.0,21765000.0,0.75387002,16410346.50531
2023-01-10 04:46:00,21780000.0,21781000.0,21780000.0,21781000.0,0.21863471,4762043.47226
2023-01-10 04:47:00,21781000.0,21781000.0,21768000.0,21781000.0,0.39680898,8641295.89032
2023-01-10 04:48:00,21781000.0,21781000.0,21780000.0,21780000.0,0.13708392,2985818.90757
2023-01-10 04:49:00,21768000.0,21781000.0,21765000.0,21781000.0,0.08197727,1784799.55442
2023-01-10 04:50:00,21781000.0,21781000.0,21765000.0,21765000.0,0.15324508,3335520.09141
2023-01-10 04:51:00,21765000.0,21768000.0,21758000.0,21766000.0,1.44921404,31540278.27591
2023-01-10 04:52:00,21766000.0,21781000.0,21755000.0,21766000.0,2.22014266,48307958.6177
2023-01-10 04:53:00,21766000.0,21766000.0,21765000.0,21765000.0,0.14553936,3167794.23464
2023-01-10 04:54:00,21765000.0,21781000.0,21757000.0,21781000.0,0.77065672,16771871.67671
2023-01-10 04:55:00,21757000.0,21781000.0,21757000.0,21777000.0,0.31696567,6902016.23269
2023-01-10 04:56:00,21777000.0,21777000.0,21758000.0,21776000.0,0.06106148,1329696.48314
2023-01-10 04:57:00,21776000.0,21776000.0,21760000.0,21772000.0,0.49759642,10828617.71863
2023-01-10 04:58:00,21772000.0,21777000.0,21760000.0,21776000.0,0.91579766,19940311.78602
2023-01-10 04:59:00,21760000.0,21760000.0,21759000.0,21759000.0,0.14370465,3126930.30496
2023-01-10 05:00:00,21772000.0,21772000.0,21756000.0,21759000.0,0.49890311,10855144.10096
2023-01-10 05:01:00,21756000.0,21772000.0,21756000.0,21772000.0,0.94982849,20664603.35659
2023-01-10 05:02:00,21772000.0,21772000.0,21756000.0,21756000.0,0.60753947,13222969.74002
2023-01-10 05:03:00,21756000.0,21756000.0,21755000.0,21756000.0,0.43636355,9493471.75602
2023-01-10 05:04:00,21755000.0,21770000.0,21753000.0,21753000.0,2.30134667,50063487.71399
2023-01-10 05:05:00,21753000.0,21753000.0,21752000.0,21753000.0,1.63720148,35613062.85578
2023-01-10 05:06:00,21752000.0,21768000.0,21751000.0,21752000.0,2.75846842,60004648.57146
2023-01-10 05:07:00,21768000.0,21768000.0,21753000.0,21753000.0,0.10562968,2297786.87424
2023-01-10 05:08:00,21753000.0,21761000.0,21747000.0,21747000.0,2.09242286,45511952.82946
2023-01-10 05:09:00,21747000.0,21748000.0,21745000.0,21747000.0,2.22368158,48355183.54026
2023-01-10 05:10:00,21745000.0,21747000.0,21742000.0,21745000.0,2.75619554,59933178.46801
2023-01-10 05:11:00,21742000.0,21742000.0,21739000.0,21741000.0,1.34261952,29189286.11741
2023-01-10 05:12:00,21741000.0,21745000.0,21741000.0,21742000.0,0.50185737,10911627.99718
2023-01-10 05:13:00,21742000.0,21742000.0,21734000.0,21742000.0,1.7366405,37752993.39301
2023-01-10 05:14:00,21736000.0,21750000.0,21734000.0,21735000.0,2.37248738,51576647.15639
2023-01-10 05:15:00,21735000.0,21750000.0,21734000.0,21750000.0,0.33801544,7347829.96128
2023-01-10 05:16:00,21737000.0,21737000.0,21734000.0,21735000.0,1.01618402,22086513.74418
2023-01-10 05:17:00,21735000.0,21750000.0,21732000.0,21733000.0,0.75664314,16447398.52327
2023-01-10 05:18:00,21732000.0,21733000.0,21730000.0,21731000.0,2.07051534,44993843.76168
2023-01-10 05:19:00,21731000.0,21731000.0,21730000.0,21731000.0,0.28924145,6285449.27286
2023-01-10 05:20:00,21731000.0,21731000.0,21730000.0,21730000.0,0.79840375,17349376.57399
2023-01-10 05:21:00,21731000.0,21760000.0,21730000.0,21757000.0,3.99772618,86940707.54234
2023-01-10 05:22:00,21734000.0,21756000.0,21734000.0,21737000.0,0.37082826,8061068.92145
2023-01-10 05:23:00,21756000.0,21756000.0,21752000.0,21752000.0,0.15524847,3377172.9528
2023-01-10 05:24:00,21744000.0,21753000.0,21744000.0,21744000.0,0.29815817,6484811.99119
2023-01-10 05:25:00,21744000.0,21744000.0,21739000.0,21744000.0,0.57020783,12396458.18791
2023-01-10 05:26:00,21744000.0,21744000.0,21744000.0,21744000.0,0.04704744,1022999.53536
2023-01-10 05:27:00,21744000.0,21744000.0,21739000.0,21742000.0,0.40601082,8827604.4584
2023-01-10 05:28:00,21740000.0,21742000.0,21739000.0,21742000.0,3.68098213,80031841.08603
2023-01-10 05:29:00,21743000.0,21744000.0,21742000.0,21743000.0,0.31235164,6791410.08334
2023-01-10 05:30:00,21743000.0,21744000.0,21737000.0,21739000.0,2.75016361,59796655.35351
2023-01-10 05:31:00,21737000.0,21744000.0,21732000.0,21732000.0,0.80783306,17562187.72481
2023-01-10 05:32:00,21732000.0,21740000.0,21726000.0,21726000.0,7.56810567,164443766.24679
2023-01-10 05:33:00,21726000.0,21741000.0,21726000.0,21741000.0,1.034241,22470457.11735
2023-01-10 05:34:00,21732000.0,21741000.0,21732000.0,21732000.0,0.61315824,13325358.24612
2023-01-10 05:35:00,21732000.0,21735000.0,21726000.0,21734000.0,1.47685844,32094158.68389
2023-01-10 05:36:00,21726000.0,21741000.0,21726000.0,21741000.0,1.41010322,30638245.80092
2023-01-10 05:37:00,21741000.0,21741000.0,21726000.0,21726000.0,0.54036602,11740007.30052
2023-01-10 05:38:00,21726000.0,21727000.0,21713000.0,21715000.0,3.92833617,85329726.64768
2023-01-10 05:39:00,21713000.0,21724000.0,21712000.0,21713000.0,0.45325676,9844494.51317
2023-01-10 05:40:00,21713000.0,21724000.0,21713000.0,21713000.0,0.38540333,8369248.7286
2023-01-10 05:41:00,21713000.0,21728000.0,21713000.0,21715000.0,0.9643649,20940017.0862
2023-01-10 05:42:00,21728000.0,21744000.0,21713000.0,21714000.0,1.72095958,37383851.08277
2023-01-10 05:43:00,21714000.0,21724000.0,21713000.0,21714000.0,1.17267989,25464983.78621
2023-01-10 05:44:00,21713000.0,21716000.0,21711000.0,21711000.0,5.66295191,122954111.02884
2023-01-10 05:45:00,21711000.0,21711000.0,21708000.0,21711000.0,1.85381321,40245775.4489
2023-01-10 05:46:00,21711000.0,21728000.0,21708000.0,21711000.0,1.23708002,26858746.03486
2023-01-10 05:47:00,21711000.0,21711000.0,21705000.0,21708000.0,1.56792938,34034076.59139
2023-01-10 05:48:00,21708000.0,21708000.0,21705000.0,21705000.0,1.98088441,42995307.8318
2023-01-10 05:49:00,21704000.0,21705000.0,21703000.0,21705000.0,3.39605532,73707422.43388
2023-01-10 05:50:00,21705000.0,21718000.0,21701000.0,21718000.0,2.02284786,43902405.43209
2023-01-10 05:51:00,21704000.0,21717000.0,21700000.0,21701000.0,6.38307588,138519564.54865
2023-01-10 05:52:00,21701000.0,21718000.0,21700000.0,21700000.0,0.65796826,14281799.6828
