product_id,img_path,brand,name,color1,color2,price_og,price_resell,n_scrap,+price,tokenized_color,tokenized_bn
39448,crawling\product_crawling\image\39448.jpg,Nike,Nike x Sacai x Fragment LDWaffle Blackened Blue,BLUE VOID,OBSIDIAN,209000,415000,11000.0,206000,[  0   0   0   0   0   0   0   0   0   2   8 173   3  49],"[   0    0    0    0    0    0    0    0    0    0    2    4    3    4
    9  161    9  355  377 1406   24]"
52608,crawling\product_crawling\image\52608.jpg,Nike,Nike ACG Mountain Fly Low Gore-Tex SE Dark Smoke Grey,DARK SMOKE GREY,IRON GREY,219000,225000,2921.0,6000,[  0   0   0   0   0   0   0   2  21  40   6   3 116   6],"[  0   0   0   0   0   0   0   2   4   3   4 140 250 242  14 117 118  40
  61 130  17]"
45030,crawling\product_crawling\image\45030.jpg,Nike,Nike x Peaceminusone Kwondo1 White,WHITE,WHITE-WHITE,219000,266600,35000.0,47600,[0 0 0 0 0 0 0 0 0 2 4 3 4 4],"[   0    0    0    0    0    0    0    0    0    0    0    0    0    2
    4    3    4    9  940 1919   11]"
83075,crawling\product_crawling\image\83075.jpg,Nike,Nike x Drake Nocta Air Force 1 Low SP Certified Lover Boy White,WHITE,WHITE,189000,200200,7521.0,11200,[0 0 0 0 0 0 0 0 0 0 2 4 3 4],"[   0    0    0    0    0    2    4    3    4    9  591  942   16   30
   12   14   44 1920 1921 1104   11]"
59968,crawling\product_crawling\image\59968.jpg,Nike,Nike Dunk Low Retro Valerian Blue,VALERIAN BLUE,VALERIAN BLUE,129000,273800,37000.0,144800,[  0   0   0   0   0   0   0   0   2 370   8   3 370   8],"[   0    0    0    0    0    0    0    0    0    0    0    0    2    4
    3    4   32   14   15 1105   24]"
44512,crawling\product_crawling\image\44512.jpg,Nike,Nike x Travis Scott Air Max 1 Cact.us Brown,BAROQUE BROWN,LEMON DROP-WHEAT-CHILE RED,189000,381200,11000.0,192200,[  0   0   0   0   0   2 122  22   3 174 438 108 150   7],"[   0    0    0    0    0    0    0    0    2    4    3    4    9  313
  243   16   33   12 1407  661   55]"
64937,crawling\product_crawling\image\64937.jpg,Nike,Nike Air More Uptempo 96 White Midnight Navy,WHITE,MIDNIGHT NAVY,209000,195600,1347.0,-13400,[ 0  0  0  0  0  0  0  0  0  2  4  3 35 17],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4  16 159 170 292
  11 158  38]"
79958,crawling\product_crawling\image\79958.jpg,Nike,Nike Dunk Low Retro White Neutral Grey,WHITE,NEUTRAL GREY,129000,198800,8765.0,69800,[ 0  0  0  0  0  0  0  0  0  2  4  3 69  6],"[  0   0   0   0   0   0   0   0   0   0   0   2   4   3   4  32  14  15
  11 430  17]"
83266,crawling\product_crawling\image\83266.jpg,Nike,Nike x Why So Sad? SB Dunk Low Pro Coastal Blue,COASTAL BLUE,COASTAL BLUE,139000,190000,3675.0,51000,[  0   0   0   0   0   0   0   0   2 439   8   3 439   8],"[   0    0    0    0    0    0    0    2    4    3    4    9  293 1922
 1923   50   32   14   70  943   24]"
43677,crawling\product_crawling\image\43677.jpg,Nike,Nike x Sacai x Undercover LDWaffle Black Bright Citron,BLACK,SAIL,209000,339800,13000.0,130800,[ 0  0  0  0  0  0  0  0  0  0  2  5  3 12],"[  0   0   0   0   0   0   0   0   0   2   4   3   4   9 161   9 294 377
  10 221 944]"
82792,crawling\product_crawling\image\82792.jpg,Nike,Nike Dunk Low SP Kentucky 2022,WHITE,VARSITY ROYAL,129000,234400,14000.0,105400,[ 0  0  0  0  0  0  0  0  0  2  4  3 23 27],"[   0    0    0    0    0    0    0    0    0    0    0    0    2    4
    3    4   32   14   44 1106  202]"
82791,crawling\product_crawling\image\82791.jpg,Nike,Nike Dunk Low SP Syracuse 2022,WHITE,ORANGE BLAZE,129000,257400,5241.0,128400,[  0   0   0   0   0   0   0   0   0   2   4   3  18 189],"[   0    0    0    0    0    0    0    0    0    0    0    0    2    4
    3    4   32   14   44 1408  202]"
88069,crawling\product_crawling\image\88069.jpg,Nike,Nike x Billie Eilish Air Force 1 Low '07 SP Mushroom,MUSHROOM,MUSHROOM,189000,273200,4449.0,84200,[  0   0   0   0   0   0   0   0   0   0   2 259   3 259],"[  0   0   0   0   0   0   0   2   4   3   4   9 945 946  16  30  12  14
  42  44 947]"
10917,crawling\product_crawling\image\10917.jpg,Nike,Nike Air Max 97 Triple White Wolf Grey,WHITE,WOLF GREY-BLACK,196900,134400,16000.0,-62500,[ 0  0  0  0  0  0  0  0  2  4  3 41  6  5],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4  16  33  95  65
  11 234  17]"
43604,crawling\product_crawling\image\43604.jpg,Nike,Nike SB Dunk Low Pro Premium Mummy,COCONUT MILK,SEAFOAM-YELLOW STRIKE,149000,406800,1968.0,257800,[  0   0   0   0   0   0   0   2 120 111   3 371  24 260],"[   0    0    0    0    0    0    0    0    0    0    0    2    4    3
    4   50   32   14   70  180 1409]"
42255,crawling\product_crawling\image\42255.jpg,Nike,Nike x Sacai x Clot LDWaffle Cool Grey,NEUTRAL GREY,OBSIDIAN-COOL GREY,219000,284000,11000.0,65000,[ 0  0  0  0  0  0  0  2 69  6  3 49 48  6],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4   9 161   9 431
 377 174  17]"
89154,crawling\product_crawling\image\89154.jpg,Nike,Nike Air Force 1 '07 LV8 Sail Noble Green,SAIL,NOBLE GREEN,149000,153600,5191.0,4600,[  0   0   0   0   0   0   0   0   0   2  12   3 233  11],"[  0   0   0   0   0   0   0   0   0   2   4   3   4  16  30  12  42 111
  79 840  28]"
42390,crawling\product_crawling\image\42390.jpg,Nike,Nike x NBA Dunk Low Retro EMB Black and Chile Red,SAIL,BLACK-BLACK-CHILE RED,119000,197800,26000.0,78800,[  0   0   0   0   0   0   0   2  12   3   5   5 150   7],"[  0   0   0   0   0   0   0   2   4   3   4   9 592  32  14  15 378  10
  41 841  27]"
/9655,crawling\product_crawling\image\/9655.jpg,Nike,Nike x J.Crew Killshot 2 Sail Midnight Navy,SAIL,MIDNIGHT NAVY-GUM YELLOW,109000,104000,34000.0,-5000,[ 0  0  0  0  0  0  0  2 12  3 35 17 51 24],"[  0   0   0   0   0   0   0   0   0   2   4   3   4   9 301 328 402  39
  79 158  38]"
41020,crawling\product_crawling\image\41020.jpg,Nike,Nike x Sacai VaporWaffle Black and Gum,BLACK,OFF-NOIR-OFF-NOIR,219000,434000,7124.0,215000,[ 0  0  0  0  0  0  0  2  5  3 30 88 30 88],"[  0   0   0   0   0   0   0   0   0   0   0   2   4   3   4   9 161 499
  10  41 190]"
39449,crawling\product_crawling\image\39449.jpg,Nike,Nike x Sacai x Fragment LDWaffle Light Smoke Grey,LT SMOKE GREY,WHITE-BLACK,209000,614200,24000.0,405200,[  0   0   0   0   0   0   0   2 440  40   6   3   4   5],"[  0   0   0   0   0   0   0   0   0   2   4   3   4   9 161   9 355 377
  54 130  17]"
39142,crawling\product_crawling\image\39142.jpg,Nike,Nike x Off-White Dunk Low The 50 - Lot 18,SAIL,NEUTRAL GREY,219000,551000,13000.0,332000,[ 0  0  0  0  0  0  0  0  0  2 12  3 69  6],"[  0   0   0   0   0   0   0   0   2   4   3   4   9  71  11  32  14  76
 203 744 356]"
50233,crawling\product_crawling\image\50233.jpg,Nike,Nike Air Force 1 '07 LV8 Athletic Club Light Smoke Grey Marina,LIGHT SMOKE GREY,MARINA,135400,275600,35000.0,140200,[  0   0   0   0   0   0   0   0   2  14  40   6   3 175],"[  0   0   0   0   0   0   2   4   3   4  16  30  12  42 111 659 219  54
 130  17 842]"
82257,crawling\product_crawling\image\82257.jpg,Nike,Nike Air Max 97 OG Silver Bullet 2022,METALLIC SILVER,VARSITY RED,219000,192000,5252.0,-27000,[ 0  0  0  0  0  0  0  0  2 15 13  3 23  7],"[   0    0    0    0    0    0    0    0    0    0    2    4    3    4
   16   33   95   21   52 1107  202]"
25688,crawling\product_crawling\image\25688.jpg,Nike,Nike Air Force 1 '07 LV8 Low 1 Triple Red,UNIVERSITY RED,UNIVERSITY RED,139000,204200,9693.0,65200,[ 0  0  0  0  0  0  0  0  2 19  7  3 19  7],"[  0   0   0   0   0   0   0   0   2   4   3   4  16  30  12  42 111  14
  12  65  27]"
44120,crawling\product_crawling\image\44120.jpg,Nike,Nike ZoomX Vaporfly Next% 2 Black Gold,BLACK,WHITE-METALLIC GOLD COIN,269000,236800,420.0,-32200,[  0   0   0   0   0   0   0   2   5   3   4  15  20 285],"[  0   0   0   0   0   0   0   0   0   0   0   2   4   3   4 379 403 147
  39  10  66]"
71893,crawling\product_crawling\image\71893.jpg,Nike,Nike Dunk Low Retro Gym Red,GYM RED,GYM RED-WHITE,129000,182400,21000.0,53400,[ 0  0  0  0  0  0  0  2 29  7  3 29  7  4],"[  0   0   0   0   0   0   0   0   0   0   0   0   2   4   3   4  32  14
  15 151  27]"
88308,crawling\product_crawling\image\88308.jpg,Nike,Nike x Ambush Air Force 1 Low SP Pine Green and Citron,PINE GREEN,CITRON TINT,229000,210000,3800.0,-19000,[  0   0   0   0   0   0   0   0   2  90  11   3 286  61],"[  0   0   0   0   0   0   2   4   3   4   9 540  16  30  12  14  44 338
  28  41 944]"
80111,crawling\product_crawling\image\80111.jpg,Nike,Nike Air Force 1 '07 PRM 40th Anniversary Join Forces White,WHITE,SAIL,169000,160400,2667.0,-8600,[ 0  0  0  0  0  0  0  0  0  0  2  4  3 12],"[  0   0   0   0   0   0   0   2   4   3   4  16  30  12  42 105 375 146
 586 587  11]"
88070,crawling\product_crawling\image\88070.jpg,Nike,Nike x Billie Eilish Air Force 1 Low '07 SP Sequoia,SEQUOIA,SEQUOIA,189000,209600,2265.0,20600,[  0   0   0   0   0   0   0   0   0   0   2 176   3 176],"[   0    0    0    0    0    0    0    2    4    3    4    9  945  946
   16   30   12   14   42   44 1108]"
92979,crawling\product_crawling\image\92979.jpg,Nike,Nike Air Force 1 '07 White Wolf Grey,WHITE,WHITE,139000,142200,3683.0,3200,[0 0 0 0 0 0 0 0 0 0 2 4 3 4],"[  0   0   0   0   0   0   0   0   0   0   2   4   3   4  16  30  12  42
  11 234  17]"
67715,crawling\product_crawling\image\67715.jpg,Nike,Nike x Jacquemus Air Humara LX Light Bone and Gold,LIGHT BONE,GOLD,209000,386200,7344.0,177200,[ 0  0  0  0  0  0  0  0  0  2 14 43  3 20],"[   0    0    0    0    0    0    0    0    2    4    3    4    9 1109
   16 1110  236   54  220   41   66]"
76884,crawling\product_crawling\image\76884.jpg,Nike,Nike Air Force 1 '07 LV8 Pojangmacha,ORANGE,WHITE,139000,172600,6688.0,33600,[ 0  0  0  0  0  0  0  0  0  0  2 18  3  4],"[   0    0    0    0    0    0    0    0    0    0    0    2    4    3
    4   16   30   12   42  111 1924]"
42331,crawling\product_crawling\image\42331.jpg,Nike,Nike x NBA Dunk Low Retro EMB Nets,BLUE VOID,GREY FOG,119000,265800,7817.0,146800,[  0   0   0   0   0   0   0   0   2   8 173   3   6  62],"[   0    0    0    0    0    0    0    0    0    0    2    4    3    4
    9  592   32   14   15  378 1925]"
89169,crawling\product_crawling\image\89169.jpg,Nike,Nike SB Dunk Low Sandy,WHITE,HYPER ROYAL,149000,175200,3468.0,26200,[ 0  0  0  0  0  0  0  0  0  2  4  3 39 27],"[   0    0    0    0    0    0    0    0    0    0    0    0    0    2
    4    3    4   50   32   14 1926]"
