,date,value,action,reward,balance,coin
111,,99338499.27689952,0.0,-0.23878518500968787,124173124.7577127,-1.1758540195177614
112,,99335560.30343904,1.0,-0.19347038772896089,148995889.92069793,-2.3513601359522567
113,,99331636.80918235,0.0,-0.18551239258567387,124167029.14586884,-1.1757171224721534
114,,99332944.22645077,0.0,-0.1322446443366009,124166180.36794977,-1.1756769348615312
115,,99333532.1498045,7.0,-0.33550445033610604,49659316.13347295,2.3514234482957224
116,,99324906.49665105,1.0,-0.26448760741432614,148977426.94061542,-2.351274921209456
117,,99316149.32975051,2.0,-0.6710264665496398,198617400.91680694,-4.702246547500143
118,,99298900.46378267,6.0,-0.15,74461761.0252801,1.175329645903258
119,,99286486.14122577,6.0,-0.1855052908174168,74459899.9712542,1.175182706498423
120,,99280346.32385415,6.0,-0.18550697189934762,74455295.68959725,1.1751656722598205
121,,99274207.10488853,7.0,-0.6550865314045391,49629657.95094749,2.350297286983322
122,,99255010.01695684,6.0,-0.07896587653032046,74433813.6022606,1.175199626050307
123,,99249916.50575191,6.0,-0.15,74432474.52111094,1.1750280172584462
124,,99244953.64754891,1.0,-0.1934375961925261,148859986.97572836,-2.3499385231347265
125,,99241035.0597386,1.0,0.07563047596486731,148851628.64266333,-2.3500126701335216
126,,99244036.18247975,1.0,-0.3710651602359714,148856131.3126645,-2.3506960416513834
127,,99231762.52538298,7.0,-0.6197141233036086,49605957.237686485,2.3502939893745527
128,,99211262.1774258,1.0,-0.4066154174167141,148806972.17253587,-2.350309442277689
129,,99197815.61965954,1.0,-0.08678431837038066,148786802.62305304,-2.3498238924472235
130,,99194944.2849006,1.0,-0.08675400980842753,148782497.49430284,-2.3500898927930205
131,,99192075.62153092,6.0,-0.1855389427292041,74386617.87207037,1.1751780160359562
132,,99183461.59943706,1.0,-0.33554773583563235,148767753.5417029,-2.3502633018041528
133,,99174847.61033347,7.0,-0.19338064546711656,49577505.772193074,2.3500034977094324
134,,99168454.58260638,5.0,-0.2132448761994,49577505.772193074,2.3500034977094324
135,,99175504.5930995,1.0,-0.3,148753338.31453753,-2.349518006991057
136,,99165586.01798777,0.0,-0.1677696571983431,123959462.15806392,-1.174641515457911
137,,99167478.33280924,10.0,-3.9318819293089176,-198367186.10750085,14.095633232181738
138,,99064770.72476602,1.0,-0.3,148562459.65292954,-2.3473951643231605
139,,99030074.29054654,6.0,-0.15,74265126.7275164,1.1732865064516673
140,,99022645.30015303,1.0,-0.3,148526541.06610727,-2.346396978819796
141,,99015218.41603076,1.0,-0.5843751480972925,148512925.73086035,-2.3462209946455324
142,,98995931.6388664,1.0,-0.22891968727795364,148483995.96230847,-2.3453193944294335
143,,98988375.4622697,7.0,-0.12232633623964034,49484288.75031174,2.345251503560218
144,,98984339.61020549,0.0,-0.061155923530730016,123732899.9093526,-1.1724390544406402
145,,98989746.10443732,5.0,-0.035538286580705236,123732899.9093526,-1.1724390544406402
146,,98990332.32396455,2.0,-0.10240244509238729,197968291.35793817,-4.6907068649259385
147,,98994376.50800087,0.0,-0.04335426540286601,123750393.16707337,-1.1729191529383989
148,,99005317.79753196,1.0,-0.08667820069202394,148500551.9228711,-2.346431193950134
149,,99004932.31768698,6.0,-0.29220631459176044,74246274.55299678,1.1733778837310014
150,,98992814.1208836,1.0,-0.2644345661451103,148481796.88666257,-2.346913563795249
151,,98986563.28300267,7.0,-0.3,49483382.789976805,2.346821007681611
152,,98976664.43147814,7.0,-0.15776334194752092,49478434.05435335,2.346586320953037
153,,98971459.44273433,7.0,-0.3,49475831.84585619,2.346240415398012
154,,98961561.56722336,0.0,-0.23890726121886313,123704426.49296215,-1.173002887030597
155,,98961103.59393874,7.0,-0.3711031572959059,49473129.409499764,2.3457168766933427
156,,98951335.48959243,1.0,0.401940217133588,148417107.84700614,-2.345596536519045
157,,98967241.66411163,1.0,-0.62021036903522,148440969.14746594,-2.3471976488025716
158,,98946785.92599052,1.0,-0.7624273824484833,148410282.13136733,-2.3462116976736422
159,,98921638.79233718,0.0,-0.1855603754799792,123654524.31378557,-1.1724462948885552
160,,98922942.16940638,6.0,-0.15,74187260.39528611,1.1724061601569924
161,,98917995.93763772,6.0,-0.13222421067594023,74183550.9297756,1.1723475388456162
162,,98913636.08795445,3.0,-2.906776647941534,296718652.52812994,-9.378144643196515
