,value,action,reward
63,99698390.55711733,2.0,0.0
64,99698390.55711733,7.0,0.0
65,99693406.11047469,9.0,0.01067210548783
66,99682680.72384953,2.0,0.007113218731472501
67,99694383.45049186,6.0,0.0035555976959700253
68,99684754.94568306,9.0,0.00592557478075
69,99687520.46452902,0.0,0.0071098471382850005
70,99693566.41087215,7.0,0.0007108836283498121
71,99694139.20976129,0.0,0.003554165481944871
72,99695853.21012516,9.0,0.0
73,99676963.62898117,4.0,0.04501622953538
74,99676960.69373037,1.0,0.0007104627480702952
75,99676960.69373037,5.0,0.0
76,99676960.69373037,3.0,0.011837961976465
77,99676960.69373037,8.0,0.0
78,99664502.25333643,9.0,0.0059175799465
79,99653190.04984425,0.0,-0.004615166145983118
80,99650976.87189193,1.0,0.0
81,99650976.72437136,5.0,0.0
82,99662256.40837899,3.0,0.029574598968440002
83,99670549.62983613,7.0,-0.000614788016363499
84,99665199.50521827,7.0,-0.0033814940055325
85,99653464.67851123,5.0,0.0
86,99645583.08583993,3.0,-0.026143326945372
87,99639492.04736358,3.0,0.024852071005919997
88,99643253.35815975,5.0,0.0
89,99640208.19735491,0.0,-0.007691579495431
90,99639760.20037283,1.0,0.002130227934389
91,99640485.64723113,8.0,-0.0007690851436428781
92,99627807.58011346,3.0,-0.0092292401258915
93,99625857.13249737,7.0,0.00023668078862115752
94,99622091.01853877,10.0,0.007100255609193695
95,99590517.17924555,0.0,0.015382794935510001
96,99605840.57015845,8.0,-0.009995741459258752
97,99580466.13053483,4.0,-0.039995266832313
98,99580463.18244043,5.0,0.0
99,99580463.18244043,5.0,0.0
100,99580463.18244043,3.0,0.002366751869731232
101,99580463.18244043,0.0,0.0035499597671240224
102,99580463.18244043,4.0,0.011832359135749999
103,99580463.18244043,10.0,-0.049216790497368
104,99492977.42650126,6.0,-0.033849358519145
105,99441165.01153857,4.0,0.004736642667668711
106,99441160.29783185,7.0,0.0033154928243270005
107,99439485.67534599,1.0,-0.0027698863636366005
108,99437578.09874251,2.0,0.0
109,99437577.99271566,8.0,0.0005919821931765767
110,99426696.40081762,5.0,0.0
111,99433067.26092881,3.0,0.00591842049193
112,99434836.23606576,2.0,-0.0023079108081250355
113,99434039.70149502,4.0,0.00473451222686716
114,99434039.17032456,1.0,-0.000307728725293055
115,99434039.17032456,4.0,-0.00307736009847237
116,99434039.17032456,7.0,-0.0003077432947463654
117,99428832.55330062,7.0,0.0002367312153772616
118,99424805.92014007,0.0,0.0
119,99424805.47269012,4.0,-0.006154865894941743
